dataset_name;varsortability;N_variables;N_obs;algo_name;algo_param;library_name;fdr;tpr;fpr;shd;nnz;precision;recall;F1;gscore;runtime_second;experiment_time
G2_v1_confounders_numdata.csv;0.7948717948717948;19;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.8;0.3333;0.1867;33;35;0.1944;0.3333;0.2456;0.0;1.83;Tue Feb 28 18:07:01 2023
G5_v2_confounders_numdata.csv;0.680921052631579;19;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7297;0.2564;0.2045;50;37;0.2703;0.2564;0.2632;0.0;1.83;Tue Feb 28 18:07:01 2023
G4_v2_numdata.csv;0.7802197802197802;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.3939;0.6061;0.0734;22;33;0.4878;0.6061;0.5405;0.0;0.73;Tue Feb 28 18:09:07 2023
G4_v4_numdata.csv;0.8356164383561644;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.4211;0.6286;0.1032;25;38;0.5641;0.6286;0.5946;0.1429;1.28;Tue Feb 28 18:09:07 2023
G2_v5_numdata.csv;0.7288135593220338;22;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5882;0.5385;0.0976;29;34;0.3784;0.5385;0.4444;0.0;1.62;Tue Feb 28 18:09:08 2023
G3_v4_numdata.csv;0.8116883116883117;22;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6585;0.4118;0.1371;41;41;0.3415;0.4118;0.3733;0.0;1.69;Tue Feb 28 18:09:08 2023
G2_v2_numdata.csv;0.7582417582417582;24;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6957;0.4;0.1328;48;46;0.2979;0.4;0.3415;0.0;1.74;Tue Feb 28 18:09:08 2023
G5_v2_numdata.csv;0.6697674418604651;22;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.561;0.3462;0.1285;51;41;0.4286;0.3462;0.383;0.0;2.0;Tue Feb 28 18:09:08 2023
G5_v5_numdata.csv;0.7207792207792207;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5676;0.3265;0.1304;46;37;0.4324;0.3265;0.3721;0.0;1.92;Tue Feb 28 18:09:08 2023
G3_v3_numdata.csv;0.7440476190476191;23;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6216;0.3889;0.106;35;37;0.3784;0.3889;0.3836;0.0;1.99;Tue Feb 28 18:09:08 2023
G5_v4_numdata.csv;0.7324561403508771;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5238;0.4444;0.1333;40;42;0.4762;0.4444;0.4598;0.0;2.06;Tue Feb 28 18:09:08 2023
G5_v1_numdata.csv;0.7769784172661871;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5526;0.3617;0.1288;47;38;0.4474;0.3617;0.4;0.0;2.03;Tue Feb 28 18:09:08 2023
G3_v2_numdata.csv;0.7222222222222222;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5676;0.5926;0.1148;27;37;0.4;0.5926;0.4776;0.0;1.19;Tue Feb 28 18:09:08 2023
G3_v5_numdata.csv;0.8083333333333333;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7143;0.3125;0.1582;42;35;0.2778;0.3125;0.2941;0.0;1.86;Tue Feb 28 18:09:09 2023
G4_v1_numdata.csv;0.8404255319148937;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5128;0.4634;0.1183;38;39;0.475;0.4634;0.4691;0.0;1.78;Tue Feb 28 18:09:09 2023
G5_v3_numdata.csv;0.7935779816513762;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.375;0.5952;0.0893;28;40;0.5814;0.5952;0.5882;0.1667;1.5;Tue Feb 28 18:09:09 2023
G3_v1_numdata.csv;0.7752808988764045;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.7222;0.2857;0.1677;43;36;0.2703;0.2857;0.2778;0.0;1.67;Tue Feb 28 18:09:09 2023
G2_v1_numdata.csv;0.7615384615384615;22;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6905;0.4333;0.1443;38;42;0.3095;0.4333;0.3611;0.0;2.06;Tue Feb 28 18:09:09 2023
G2_v4_numdata.csv;0.8090909090909091;21;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.4516;0.6538;0.0761;20;31;0.4595;0.6538;0.5397;0.0;0.63;Tue Feb 28 18:09:09 2023
G2_v3_numdata.csv;0.7051282051282052;22;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5263;0.6667;0.098;23;38;0.4737;0.6667;0.5538;0.0;1.6;Tue Feb 28 18:09:09 2023
G4_v5_numdata.csv;0.7349397590361446;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.6316;0.4375;0.1519;39;38;0.359;0.4375;0.3944;0.0;0.8;Tue Feb 28 18:09:09 2023
G4_v3_numdata.csv;0.8346774193548387;20;500;pc;{'variant': 'original', 'alpha': 0.05, 'ci_test': 'fisherz', 'priori_knowledge': None};gCastle;0.5135;0.4186;0.1293;40;37;0.4865;0.4186;0.45;0.0;0.91;Tue Feb 28 18:09:09 2023
